Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomeExperienceRatio,PromotionDelay,EngagementScore,WorkloadStress,Attrition_Probability,Risk_Category
37,0,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1,220.89473684210526,0,3.0,1,0.5472291971393269,Medium Risk
43,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9,551.3846153846154,1,2.0,0,0.07108035580071263,Low Risk
40,0,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0,164.1904761904762,0,2.25,0,0.4241305106413502,Medium Risk
54,0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2,776.24,0,2.0,0,0.0620452727112679,Low Risk
34,0,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2,934.0,0,2.5,0,0.2204113455433277,Low Risk
31,0,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12,307.57142857142856,1,2.0,0,0.1690159860277036,Low Risk
43,0,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2,250.88888888888889,0,3.0,0,0.680502750793687,High Risk
43,0,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2,502.44444444444446,0,3.25,0,0.07285492468118719,Low Risk
25,0,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3,747.8333333333334,0,2.5,0,0.7621023662761048,High Risk
37,0,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7,278.0625,1,2.25,0,0.3676254350130898,Medium Risk
31,0,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2,443.6,1,2.5,0,0.648023485396512,High Risk
39,0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6,872.5909090909091,0,2.75,0,0.18585071966899133,Low Risk
56,0,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7,357.0810810810811,1,3.0,0,0.25273779177606204,Low Risk
30,0,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4,939.5714285714286,1,2.5,0,0.6581134173669756,High Risk
41,0,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7,762.9090909090909,0,2.5,0,0.1372874184832986,Low Risk
28,0,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8,414.3636363636364,0,2.75,0,0.2650146842146811,Low Risk
25,1,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,No,13,3,3,1,6,5,3,2,2,0,2,575.8571428571429,0,2.0,0,0.6518462518495188,High Risk
52,0,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4,274.7931034482759,0,3.0,0,0.08536941893648742,Low Risk
45,0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2,294.8888888888889,0,3.0,0,0.08278221053789189,Low Risk
52,0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4,517.34375,0,3.75,0,0.004799941370142197,Low Risk
42,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2,227.8,0,2.25,0,0.24456923671293845,Low Risk
30,0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2,507.5833333333333,0,2.75,0,0.16180894968745774,Low Risk
60,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10,575.4705882352941,1,2.25,0,0.3455069016576577,Medium Risk
46,0,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8,240.5,0,3.0,0,0.007149674980460362,Low Risk
42,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4,565.375,0,3.5,0,0.027614848352301172,Low Risk
24,1,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4,457.42857142857144,0,2.0,0,0.9044542976735179,High Risk
34,1,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0,587.75,0,3.0,0,0.56193483043946,Medium Risk
38,0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0,851.0,0,3.5,0,0.5593789201675236,Medium Risk
40,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,18041,13022,0,No,14,3,4,0,21,2,3,20,15,1,12,820.0454545454545,0,3.25,0,0.006060553359231834,Low Risk
26,0,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,No,22,4,2,2,3,3,1,3,2,0,2,721.5,0,2.5,0,0.15245338901323804,Low Risk
30,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,2097,16734,4,No,15,3,3,1,9,3,1,5,3,1,4,209.7,0,3.25,0,0.061231751901734785,Low Risk
29,0,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,No,18,3,3,0,10,2,3,10,2,0,7,1085.0,0,2.5,0,0.03948202331149954,Low Risk
29,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1,363.7142857142857,0,2.25,0,0.5979463467010342,Medium Risk
19,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0,1282.0,0,2.5,0,0.8421113691734156,High Risk
30,0,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,8412,2890,0,No,11,3,3,0,10,3,3,9,8,7,8,764.7272727272727,1,2.5,0,0.10567393482903469,Low Risk
57,0,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0,427.8181818181818,0,2.5,0,0.2968678384049979,Low Risk
50,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,17046,9314,0,No,15,3,2,1,28,2,3,27,10,15,7,587.7931034482758,1,2.25,0,0.23066476972288405,Low Risk
30,0,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,No,14,3,3,0,12,2,2,11,7,6,7,197.23076923076923,1,3.25,0,0.08516317578812141,Low Risk
60,0,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,10266,2845,4,No,19,3,4,0,22,5,4,18,13,13,11,446.3478260869565,1,2.5,0,0.21339997106962733,Low Risk
47,0,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4,241.42857142857142,0,2.75,0,0.02089475606689873,Low Risk
46,0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,17861,2288,6,No,13,3,3,0,26,2,1,3,2,0,1,661.5185185185185,0,2.5,0,0.059536270805281594,Low Risk
35,0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,No,15,3,3,0,6,2,3,5,4,4,3,604.2857142857143,1,2.75,0,0.8143457316593656,High Risk
54,0,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,3780,23428,7,No,11,3,3,0,19,3,3,1,0,0,0,189.0,0,3.0,0,0.5025725423327735,Medium Risk
34,0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,No,12,3,3,1,14,3,3,7,3,5,7,184.53333333333333,1,3.0,0,0.0582472535871781,Low Risk
46,0,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Yes,19,3,3,1,15,3,3,3,2,1,2,566.9375,0,3.0,0,0.21698847640221322,Low Risk
31,0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,No,25,4,4,1,13,6,4,13,8,0,8,760.5714285714286,0,3.0,0,0.006723334895855398,Low Risk
33,1,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7,850.625,1,3.0,0,0.6429967587854268,High Risk
33,1,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,No,13,3,1,3,8,2,3,4,3,1,3,378.6666666666667,0,1.75,0,0.6873572828326066,High Risk
30,0,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,2983,18398,0,No,14,3,1,0,4,3,3,3,2,1,2,596.6,0,2.5,0,0.6826386015743092,High Risk
35,0,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0,693.8181818181819,0,3.25,0,0.3982747633073614,Medium Risk
31,1,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,9824,22908,3,No,12,3,1,0,12,2,3,1,0,0,0,755.6923076923077,0,2.0,0,0.6819684826770631,High Risk
34,1,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2,829.1666666666666,0,2.25,0,0.9731198361063679,High Risk
42,0,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,2093,9260,4,No,17,3,4,1,8,4,3,2,2,2,0,232.55555555555554,0,3.0,0,0.16936958589598566,Low Risk
36,0,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,1,No,14,3,4,0,10,3,2,10,3,9,7,907.2727272727273,1,3.25,0,0.33141092810509565,Medium Risk
22,1,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,3894,9129,5,No,16,3,3,0,4,3,3,2,2,1,2,778.8,0,2.75,0,0.8432463631305003,High Risk
48,0,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,No,14,3,1,1,14,2,3,9,7,6,7,270.06666666666666,1,2.5,0,0.2376819497204304,Low Risk
55,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,16835,9873,3,No,23,4,4,0,37,2,3,10,9,7,7,443.0263157894737,1,2.5,0,0.12148199559128366,Low Risk
41,0,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10,366.47058823529414,0,3.75,0,0.04506417648037893,Low Risk
35,0,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9,294.8125,1,2.75,0,0.5927531749265613,Medium Risk
40,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13,575.5217391304348,1,2.75,0,0.28932698809321594,Low Risk
39,0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,No,11,3,1,1,8,3,3,8,3,0,7,417.22222222222223,0,2.5,0,0.2415590518285406,Low Risk
31,0,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Yes,13,3,3,0,10,2,4,6,5,0,5,598.3636363636364,0,3.0,0,0.506836422527107,Medium Risk
42,0,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Yes,21,4,4,1,10,5,2,10,9,5,8,673.2727272727273,1,3.0,1,0.5726636752206865,Medium Risk
45,0,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,No,19,3,2,1,9,3,4,8,7,3,7,480.5,1,2.75,0,0.039193840324144406,Low Risk
26,1,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,2741,22808,0,Yes,11,3,2,1,8,2,2,7,7,1,0,304.55555555555554,0,2.5,1,0.8095753077651003,High Risk
29,0,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,No,12,3,2,2,8,2,4,3,2,1,2,473.55555555555554,0,3.25,0,0.1650138368742242,Low Risk
33,0,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,4,No,19,3,3,1,10,2,3,6,1,0,5,1471.2727272727273,0,2.75,0,0.026007281322237098,Low Risk
31,0,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,11557,25291,9,No,21,4,3,1,10,3,2,5,4,0,1,1050.6363636363637,0,3.0,0,0.46747270532897156,Medium Risk
18,1,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,1878,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0,1878.0,0,2.75,0,0.9940700416217615,High Risk
40,0,Non-Travel,1094,Sales,28,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,10932,11373,3,No,15,3,3,1,20,2,3,1,0,0,1,520.5714285714286,0,2.0,0,0.11482122459164137,Low Risk
41,0,Non-Travel,509,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,6811,2112,2,Yes,17,3,1,0,10,3,3,8,7,0,7,619.1818181818181,0,1.75,0,0.09260699425389778,Low Risk
26,0,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,4306,4267,5,No,12,3,1,2,8,5,3,0,0,0,0,478.44444444444446,0,2.0,0,0.7058426022129056,High Risk
35,0,Travel_Rarely,195,Sales,1,3,Medical,1,Female,80,3,2,Sales Executive,3,Single,4859,6698,1,No,16,3,4,0,5,3,3,5,4,0,3,809.8333333333334,0,2.75,0,0.3014246335340811,Medium Risk
34,0,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,No,12,3,4,0,10,3,3,10,7,5,7,485.1818181818182,1,4.0,0,0.22496562150663674,Low Risk
26,1,Travel_Rarely,471,Research & Development,24,3,Technical Degree,3,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Yes,18,3,2,0,1,3,1,1,0,0,0,1170.0,0,2.5,1,0.9939361774501579,High Risk
37,0,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,59,3,3,Manufacturing Director,4,Single,7491,23848,4,No,17,3,4,0,12,3,4,6,5,1,2,576.2307692307693,0,3.25,0,0.11353977687149973,Low Risk
46,0,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,5,No,11,3,4,0,28,3,2,2,2,1,2,363.0,0,2.75,0,0.1252701010479157,Low Risk
41,0,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,91,3,4,Manager,1,Married,16595,5626,7,No,16,3,2,1,22,2,3,18,16,11,8,721.5217391304348,1,2.0,0,0.2657459192159839,Low Risk
37,0,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,1,9,6,3,9,5,7,7,883.4,1,2.5,0,0.2076032623091212,Low Risk
52,0,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Yes,12,3,2,2,18,3,3,10,9,6,9,293.5263157894737,1,2.5,0,0.27291920093761524,Low Risk
32,1,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,4707,23914,8,No,12,3,4,0,6,2,3,4,2,1,2,672.4285714285714,0,3.75,0,0.0753112045873803,Low Risk
24,0,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,No,13,3,3,2,3,3,3,2,2,2,1,600.0,0,3.5,0,0.5593811563017586,Medium Risk
38,0,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,9824,22174,3,No,19,3,3,1,18,4,3,1,0,0,0,517.0526315789474,0,3.0,0,0.010974061846163336,Low Risk
37,0,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,65,3,2,Manufacturing Director,2,Married,6447,15701,6,No,12,3,2,1,8,2,2,6,5,4,3,716.3333333333334,1,2.25,0,0.5809228087938758,Medium Risk
49,0,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,4,Male,58,2,5,Research Director,3,Divorced,19502,2125,1,Yes,17,3,3,1,31,5,3,31,9,0,9,609.4375,0,3.0,0,0.013300267199545208,Low Risk
24,0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4,389.2857142857143,0,3.0,0,0.32448035735466196,Medium Risk
26,0,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,6272,7428,1,No,20,4,4,2,6,5,4,5,3,1,4,896.0,0,2.5,0,0.3774168455868414,Medium Risk
24,0,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,1,No,21,4,4,1,1,2,3,1,0,0,0,1063.5,0,3.0,0,0.45665789062776374,Medium Risk
50,0,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,18200,7999,1,No,11,3,3,1,32,2,3,32,5,10,7,551.5151515151515,1,2.25,0,0.4028420103213925,Medium Risk
25,0,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,2096,26376,1,No,11,3,3,0,7,1,3,7,4,0,6,262.0,0,2.75,0,0.5213240894815484,Medium Risk
24,1,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Yes,16,3,4,1,6,4,3,6,3,1,2,412.2857142857143,0,2.75,0,0.7066372912240396,High Risk
30,1,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,2033,14470,1,No,18,3,3,1,1,2,4,1,0,0,0,1016.5,0,2.0,0,0.9263363396897071,High Risk
34,0,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,83,2,1,Research Scientist,4,Married,3622,22794,1,Yes,13,3,4,1,6,3,3,6,5,1,3,517.4285714285714,0,3.0,0,0.24765852598072022,Low Risk
31,1,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,46,3,2,Sales Executive,1,Divorced,4233,11512,2,No,17,3,3,0,9,2,1,3,1,1,2,423.3,0,2.25,0,0.49130164611487037,Medium Risk
35,0,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,54,2,2,Laboratory Technician,4,Single,3681,14004,4,No,14,3,4,0,9,3,3,3,2,0,2,368.1,0,2.75,0,0.7166811901289276,High Risk
31,0,Travel_Rarely,525,Sales,6,4,Medical,1,Male,66,4,2,Sales Executive,4,Divorced,5460,6219,4,No,22,4,4,2,13,4,4,7,7,5,7,390.0,1,3.25,0,0.07930230478223452,Low Risk
27,0,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,2187,5013,0,No,12,3,3,2,6,5,2,5,3,0,3,312.42857142857144,0,2.25,0,0.08129768549012296,Low Risk
37,0,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,9602,3010,4,Yes,11,3,3,1,17,3,2,3,0,1,0,533.4444444444445,0,3.25,1,0.5161473189560927,Medium Risk
20,0,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,2836,11757,1,No,13,3,4,0,1,0,4,1,0,0,0,1418.0,0,3.0,0,0.38235182713004506,Medium Risk
42,0,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,81,3,2,Healthcare Representative,4,Married,4089,5718,1,No,13,3,2,2,10,4,3,10,2,2,2,371.72727272727275,0,3.0,0,0.020154577322701303,Low Risk
43,0,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,50,2,4,Research Director,4,Divorced,16627,2671,4,Yes,14,3,3,1,21,3,2,1,0,0,0,755.7727272727273,0,2.75,1,0.09959473499672356,Low Risk
38,0,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,3,No,17,3,4,0,8,3,2,0,0,0,0,291.0,0,2.75,0,0.1956075529522841,Low Risk
43,0,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Yes,13,3,2,1,10,3,3,8,7,4,7,516.2727272727273,1,3.0,0,0.7422554886593496,High Risk
48,0,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,40,2,4,Manager,1,Married,15402,17997,7,No,11,3,1,1,21,3,1,3,2,0,2,700.0909090909091,0,2.0,0,0.21623934445899776,Low Risk
44,0,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,50,2,2,Human Resources,3,Single,5985,26894,4,No,11,3,2,0,10,1,4,2,2,0,2,544.0909090909091,0,2.0,0,0.46597857986409474,Medium Risk
34,0,Travel_Rarely,204,Sales,14,3,Technical Degree,3,Female,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Yes,18,3,4,2,8,3,3,8,2,0,6,286.55555555555554,0,3.25,0,0.4877861534964223,Medium Risk
27,1,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,3041,16346,0,No,11,3,2,1,5,3,3,4,3,0,2,506.8333333333333,0,2.25,0,0.36392457743762685,Medium Risk
21,0,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,No,11,3,3,0,3,2,3,3,2,1,2,861.75,0,3.0,0,0.8689766979865375,High Risk
44,0,Travel_Rarely,1315,Research & Development,3,4,Other,4,Male,35,3,5,Manager,4,Married,19513,9358,4,Yes,12,3,1,1,26,2,4,2,2,0,1,722.7037037037037,0,3.0,0,0.05766467123272798,Low Risk
22,0,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,2773,12145,0,No,20,4,4,0,3,3,3,2,2,2,2,693.25,0,2.75,0,0.18661818836325275,Low Risk
33,0,Travel_Rarely,1216,Sales,8,4,Marketing,3,Male,39,3,2,Sales Executive,3,Divorced,7104,20431,0,No,12,3,4,0,6,3,3,5,0,1,2,1014.8571428571429,0,3.25,0,0.17440738387907578,Low Risk
32,0,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,Female,92,3,2,Research Scientist,4,Married,6322,18089,1,Yes,12,3,4,1,6,2,2,6,4,0,5,903.1428571428571,0,3.0,1,0.43540907309060345,Medium Risk
30,0,Travel_Frequently,160,Research & Development,3,3,Medical,3,Female,71,3,1,Research Scientist,3,Divorced,2083,22653,1,No,20,4,3,1,1,2,3,1,0,0,0,1041.5,0,3.0,0,0.259650730173375,Low Risk
53,0,Travel_Rarely,238,Sales,1,1,Medical,4,Female,34,3,2,Sales Executive,1,Single,8381,7507,7,No,20,4,4,0,18,2,4,14,7,8,10,441.10526315789474,1,3.0,0,0.2275901757679054,Low Risk
34,0,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,2,Male,42,3,1,Research Scientist,4,Married,2691,7660,1,No,12,3,4,1,10,4,2,10,9,8,8,244.63636363636363,1,3.25,0,0.04655602027968297,Low Risk
45,1,Travel_Frequently,306,Sales,26,4,Life Sciences,1,Female,100,3,2,Sales Executive,1,Married,4286,5630,2,No,14,3,4,2,5,4,3,1,1,0,0,714.3333333333334,0,2.25,0,0.6789113504508336,High Risk
26,0,Travel_Rarely,991,Research & Development,6,3,Life Sciences,3,Female,71,3,1,Laboratory Technician,4,Married,2659,17759,1,Yes,13,3,3,1,3,2,3,3,2,0,2,664.75,0,3.25,0,0.4874739569549909,Medium Risk
37,0,Travel_Rarely,482,Research & Development,3,3,Other,3,Male,36,3,3,Manufacturing Director,3,Married,9434,9606,1,No,15,3,3,1,10,2,3,10,7,7,8,857.6363636363636,1,3.0,0,0.0696550351731003,Low Risk
